Alpha,Beta,Rho,Ants,Cost
1.0,1.0,0.1,30,957.3555182659849
1.0,1.0,0.1,50,932.3410533452864
1.0,1.0,0.1,70,893.0496320913875
1.0,1.0,0.1,100,934.0472612126099
1.0,1.0,0.2,30,960.8345305599662
1.0,1.0,0.2,50,959.689346470637
1.0,1.0,0.2,70,946.8454581446056
1.0,1.0,0.2,100,893.9140819485394
1.0,1.0,0.3,30,913.0829771093312
1.0,1.0,0.3,50,915.1599789442857
1.0,1.0,0.3,70,911.9740418293076
1.0,1.0,0.3,100,867.6385861122665
1.0,1.0,0.4,30,916.579556873475
1.0,1.0,0.4,50,956.196743188407
1.0,1.0,0.4,70,925.3254492020353
1.0,1.0,0.4,100,904.4051745759767
1.0,1.0,0.5,30,978.9900580454013
1.0,1.0,0.5,50,927.1537888784187
1.0,1.0,0.5,70,973.6084429455938
1.0,1.0,0.5,100,897.7902140591448
1.0,2.0,0.1,30,856.1589256376897
1.0,2.0,0.1,50,863.9373495408477
1.0,2.0,0.1,70,866.0374890169682
1.0,2.0,0.1,100,852.749314637689
1.0,2.0,0.2,30,863.5381415301557
1.0,2.0,0.2,50,854.6523109051085
1.0,2.0,0.2,70,881.9780228012703
1.0,2.0,0.2,100,849.4054957356813
1.0,2.0,0.3,30,890.9246960881002
1.0,2.0,0.3,50,860.6777662058421
1.0,2.0,0.3,70,851.7753168882626
1.0,2.0,0.3,100,854.2542114030528
1.0,2.0,0.4,30,898.2126337444159
1.0,2.0,0.4,50,853.2847224133993
1.0,2.0,0.4,70,853.0607422549026
1.0,2.0,0.4,100,850.5189613104588
1.0,2.0,0.5,30,958.8691839171944
1.0,2.0,0.5,50,839.2710713525684
1.0,2.0,0.5,70,879.915736861584
1.0,2.0,0.5,100,847.6625821875487
1.0,3.0,0.1,30,949.838853926389
1.0,3.0,0.1,50,840.659994873429
1.0,3.0,0.1,70,855.5405373341994
1.0,3.0,0.1,100,867.5128494687932
1.0,3.0,0.2,30,872.929792140006
1.0,3.0,0.2,50,854.04700297404
1.0,3.0,0.2,70,846.8429205930469
1.0,3.0,0.2,100,853.0490895848387
1.0,3.0,0.3,30,848.8839605839725
1.0,3.0,0.3,50,892.2097678354817
1.0,3.0,0.3,70,876.4420200095615
1.0,3.0,0.3,100,848.7254586000475
1.0,3.0,0.4,30,860.307737812633
1.0,3.0,0.4,50,919.0732193076998
1.0,3.0,0.4,70,859.2196636094966
1.0,3.0,0.4,100,844.9903386806499
1.0,3.0,0.5,30,844.877861630705
1.0,3.0,0.5,50,852.3460858971646
1.0,3.0,0.5,70,842.4047599468606
1.0,3.0,0.5,100,844.8778616307052
1.0,4.0,0.1,30,884.6439207174335
1.0,4.0,0.1,50,883.8346588966427
1.0,4.0,0.1,70,859.357352210437
1.0,4.0,0.1,100,843.3328467420433
1.0,4.0,0.2,30,897.7943936238366
1.0,4.0,0.2,50,840.7134295524042
1.0,4.0,0.2,70,906.8921328390578
1.0,4.0,0.2,100,862.2664874338576
1.0,4.0,0.3,30,865.9160742237642
1.0,4.0,0.3,50,968.6813213655794
1.0,4.0,0.3,70,852.3460858971646
1.0,4.0,0.3,100,939.0717484430572
1.0,4.0,0.4,30,949.0246204272702
1.0,4.0,0.4,50,868.3490369065365
1.0,4.0,0.4,70,851.2277319326132
1.0,4.0,0.4,100,841.045577735189
1.0,4.0,0.5,30,867.8646943713212
1.0,4.0,0.5,50,895.4493772326252
1.0,4.0,0.5,70,846.0219995897343
1.0,4.0,0.5,100,864.7018316060296
1.0,5.0,0.1,30,852.8922440055206
1.0,5.0,0.1,50,845.1405918207231
1.0,5.0,0.1,70,849.8082439608684
1.0,5.0,0.1,100,859.8507519111628
1.0,5.0,0.2,30,846.5600797924682
1.0,5.0,0.2,50,952.6742633502099
1.0,5.0,0.2,70,871.6676258244615
1.0,5.0,0.2,100,893.6451970847538
1.0,5.0,0.3,30,935.4058829633075
1.0,5.0,0.3,50,835.5579411063904
1.0,5.0,0.3,70,900.4973978282219
1.0,5.0,0.3,100,867.1775554919759
1.0,5.0,0.4,30,942.6783709366412
1.0,5.0,0.4,50,848.9396370201803
1.0,5.0,0.4,70,895.1103453020692
1.0,5.0,0.4,100,933.6220379771322
1.0,5.0,0.5,30,939.6293317597972
1.0,5.0,0.5,50,878.2495879398815
1.0,5.0,0.5,70,948.7115890380394
1.0,5.0,0.5,100,866.7869713581094
2.0,1.0,0.1,30,906.8886653658282
2.0,1.0,0.1,50,882.594474746588
2.0,1.0,0.1,70,900.3695208006726
2.0,1.0,0.1,100,851.5516182252494
2.0,1.0,0.2,30,931.2848399489288
2.0,1.0,0.2,50,886.4834871286545
2.0,1.0,0.2,70,852.1958327570912
2.0,1.0,0.2,100,850.4058327756632
2.0,1.0,0.3,30,918.241739839775
2.0,1.0,0.3,50,947.5461557617969
2.0,1.0,0.3,70,850.4058327756629
2.0,1.0,0.3,100,853.469640247139
2.0,1.0,0.4,30,872.1596804038118
2.0,1.0,0.4,50,914.7959682929414
2.0,1.0,0.4,70,877.6562575672651
2.0,1.0,0.4,100,895.4433088983686
2.0,1.0,0.5,30,864.4028349746225
2.0,1.0,0.5,50,880.5703195809856
2.0,1.0,0.5,70,884.0360166644982
2.0,1.0,0.5,100,853.0093174044326
2.0,2.0,0.1,30,853.1437280134746
2.0,2.0,0.1,50,851.9255700283359
2.0,2.0,0.1,70,856.0285037348118
2.0,2.0,0.1,100,850.0421828735045
2.0,2.0,0.2,30,871.9758365629307
2.0,2.0,0.2,50,873.7760550331036
2.0,2.0,0.2,70,919.4308475343302
2.0,2.0,0.2,100,853.2113435557858
2.0,2.0,0.3,30,850.5078332901717
2.0,2.0,0.3,50,840.863963635568
2.0,2.0,0.3,70,858.9341042632946
2.0,2.0,0.3,100,847.0748798143344
2.0,2.0,0.4,30,911.0249029058765
2.0,2.0,0.4,50,842.491739353312
2.0,2.0,0.4,70,864.8872998783811
2.0,2.0,0.4,100,854.1980918572026
2.0,2.0,0.5,30,904.79323324736
2.0,2.0,0.5,50,857.7728408527512
2.0,2.0,0.5,70,901.5960963705699
2.0,2.0,0.5,100,847.8282151019439
2.0,3.0,0.1,30,973.9921725500598
2.0,3.0,0.1,50,957.8310733366235
2.0,3.0,0.1,70,851.3790911105775
2.0,3.0,0.1,100,881.8437895366811
2.0,3.0,0.2,30,869.0542012436533
2.0,3.0,0.2,50,963.7728501162029
2.0,3.0,0.2,70,850.7732143599071
2.0,3.0,0.2,100,844.8778616307051
2.0,3.0,0.3,30,863.5836240879983
2.0,3.0,0.3,50,851.3114755682664
2.0,3.0,0.3,70,938.9683397530436
2.0,3.0,0.3,100,888.1556425586026
2.0,3.0,0.4,30,1007.9073676732507
2.0,3.0,0.4,50,929.3430136816938
2.0,3.0,0.4,70,867.3806348651573
2.0,3.0,0.4,100,910.713911405313
2.0,3.0,0.5,30,845.3490139166213
2.0,3.0,0.5,50,885.6409881452387
2.0,3.0,0.5,70,914.159773140231
2.0,3.0,0.5,100,975.955935745785
2.0,4.0,0.1,30,968.0718063362772
2.0,4.0,0.1,50,927.3502883273975
2.0,4.0,0.1,70,951.6392680567734
2.0,4.0,0.1,100,880.4023996220387
2.0,4.0,0.2,30,1016.1099477593183
2.0,4.0,0.2,50,878.1436838525829
2.0,4.0,0.2,70,864.0144357476381
2.0,4.0,0.2,100,975.0248749355198
2.0,4.0,0.3,30,972.5210617654811
2.0,4.0,0.3,50,852.9228201374414
2.0,4.0,0.3,70,961.4508037477347
2.0,4.0,0.3,100,952.4353787399951
